month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Manhattan,2,LCL/LTD,M8,Peak,614,744,82.5268817
2015-01-01,Manhattan,2,LCL/LTD,M86,Off-Peak,6933,9115,76.0614372
2015-01-01,Manhattan,2,LCL/LTD,M86,Peak,2514,3267,76.9513315
2015-01-01,Manhattan,2,LCL/LTD,M9,Off-Peak,2878,3925,73.3248408
2015-01-01,Manhattan,2,LCL/LTD,M9,Peak,1023,1369,74.7260774
2015-01-01,Manhattan,2,LCL/LTD,M96,Off-Peak,4840,5713,84.7190618
2015-01-01,Manhattan,2,LCL/LTD,M96,Peak,1851,2119,87.3525248
2015-01-01,Manhattan,2,LCL/LTD,M98,Off-Peak,8,9,88.8888889
2015-01-01,Manhattan,2,LCL/LTD,M98,Peak,20,27,74.0740741
2015-01-01,Manhattan,1,SBS,M34+,Off-Peak,2599,3171,81.9615263
2015-01-01,Manhattan,1,SBS,M34+,Peak,1349,1842,73.2356135
2015-01-01,Manhattan,1,SBS,M34A+,Off-Peak,2724,3279,83.074108
2015-01-01,Manhattan,1,SBS,M34A+,Peak,1303,1825,71.3972603
2015-01-01,Manhattan,1,SBS,M15+,Off-Peak,5732,8644,66.3118926
2015-01-01,Manhattan,1,SBS,M15+,Peak,2950,4947,59.6321003
2015-01-01,Manhattan,1,SBS,M60+,Off-Peak,1905,2933,64.9505626
2015-01-01,Manhattan,1,SBS,M60+,Peak,684,1188,57.5757576
2015-01-01,Manhattan,2,SBS,M34+,Off-Peak,942,1286,73.2503888
2015-01-01,Manhattan,2,SBS,M34+,Peak,393,579,67.8756477
2015-01-01,Manhattan,2,SBS,M34A+,Off-Peak,1087,1411,77.037562
2015-01-01,Manhattan,2,SBS,M34A+,Peak,419,586,71.5017065
2015-01-01,Manhattan,2,SBS,M15+,Off-Peak,3498,4611,75.862069
2015-01-01,Manhattan,2,SBS,M15+,Peak,1263,1762,71.6799092
2015-01-01,Manhattan,2,SBS,M60+,Off-Peak,971,1813,53.5576393
2015-01-01,Manhattan,2,SBS,M60+,Peak,354,609,58.1280788
2015-01-01,Queens,1,EXP,QM1,Off-Peak,392,426,92.0187793
2015-01-01,Queens,1,EXP,QM1,Peak,485,597,81.239531
2015-01-01,Queens,1,EXP,QM11,Off-Peak,50,54,92.5925926
2015-01-01,Queens,1,EXP,QM11,Peak,355,432,82.1759259
2015-01-01,Queens,1,EXP,QM12,Off-Peak,157,176,89.2045455
2015-01-01,Queens,1,EXP,QM12,Peak,815,1033,78.8964182
2015-01-01,Queens,1,EXP,QM15,Off-Peak,1289,1468,87.8065395
2015-01-01,Queens,1,EXP,QM15,Peak,1644,2095,78.4725537
2015-01-01,Queens,1,EXP,QM16,Off-Peak,251,277,90.6137184
2015-01-01,Queens,1,EXP,QM16,Peak,734,882,83.2199546
2015-01-01,Queens,1,EXP,QM17,Off-Peak,191,234,81.6239316
2015-01-01,Queens,1,EXP,QM17,Peak,474,608,77.9605263
2015-01-01,Queens,1,EXP,QM18,Off-Peak,3,4,75
2015-01-01,Queens,1,EXP,QM18,Peak,382,488,78.2786885
2015-01-01,Queens,1,EXP,QM2,Off-Peak,940,1159,81.1044003
2015-01-01,Queens,1,EXP,QM2,Peak,787,1179,66.7514843
2015-01-01,Queens,1,EXP,QM20,Off-Peak,554,628,88.2165605
2015-01-01,Queens,1,EXP,QM20,Peak,409,586,69.7952218
2015-01-01,Queens,1,EXP,QM21,Off-Peak,50,61,81.9672131
2015-01-01,Queens,1,EXP,QM21,Peak,114,145,78.6206897
2015-01-01,Queens,1,EXP,QM24,Off-Peak,331,349,94.8424069
2015-01-01,Queens,1,EXP,QM24,Peak,1200,1477,81.2457684
2015-01-01,Queens,1,EXP,QM25,Off-Peak,38,44,86.3636364
2015-01-01,Queens,1,EXP,QM25,Peak,364,438,83.1050228
2015-01-01,Queens,1,EXP,QM5,Off-Peak,1132,1443,78.4476784
2015-01-01,Queens,1,EXP,QM5,Peak,1137,1622,70.0986436
2015-01-01,Queens,1,EXP,QM6,Off-Peak,803,940,85.4255319
2015-01-01,Queens,1,EXP,QM6,Peak,724,1044,69.348659
2015-01-01,Queens,1,EXP,QM7,Off-Peak,166,187,88.7700535
2015-01-01,Queens,1,EXP,QM7,Peak,578,712,81.1797753
2015-01-01,Queens,1,EXP,QM8,Off-Peak,75,86,87.2093023
2015-01-01,Queens,1,EXP,QM8,Peak,248,347,71.4697406
2015-01-01,Queens,1,EXP,X63,Off-Peak,117,120,97.5
2015-01-01,Queens,1,EXP,X63,Peak,523,728,71.8406593
2015-01-01,Queens,1,EXP,X64,Off-Peak,24,27,88.8888889
2015-01-01,Queens,1,EXP,X64,Peak,246,341,72.1407625
2015-01-01,Queens,1,EXP,X68,Off-Peak,23,26,88.4615385
2015-01-01,Queens,1,EXP,X68,Peak,325,437,74.3707094
2015-01-01,Queens,2,EXP,QM1,Off-Peak,16,23,69.5652174
2015-01-01,Queens,2,EXP,QM1,Peak,18,26,69.2307692
2015-01-01,Queens,2,EXP,QM11,Off-Peak,2,3,66.6666667
2015-01-01,Queens,2,EXP,QM11,Peak,13,18,72.2222222
2015-01-01,Queens,2,EXP,QM12,Off-Peak,6,7,85.7142857
2015-01-01,Queens,2,EXP,QM12,Peak,47,54,87.037037
2015-01-01,Queens,2,EXP,QM15,Off-Peak,219,251,87.250996
2015-01-01,Queens,2,EXP,QM15,Peak,132,160,82.5
2015-01-01,Queens,2,EXP,QM16,Off-Peak,9,9,100
2015-01-01,Queens,2,EXP,QM16,Peak,17,19,89.4736842
2015-01-01,Queens,2,EXP,QM17,Off-Peak,7,7,100
2015-01-01,Queens,2,EXP,QM17,Peak,19,22,86.3636364
2015-01-01,Queens,2,EXP,QM18,Off-Peak,1,1,100
2015-01-01,Queens,2,EXP,QM18,Peak,22,24,91.6666667
2015-01-01,Queens,2,EXP,QM2,Off-Peak,198,248,79.8387097
2015-01-01,Queens,2,EXP,QM2,Peak,105,146,71.9178082
2015-01-01,Queens,2,EXP,QM20,Off-Peak,48,53,90.5660377
2015-01-01,Queens,2,EXP,QM20,Peak,29,39,74.3589744
2015-01-01,Queens,2,EXP,QM21,Off-Peak,4,4,100
2015-01-01,Queens,2,EXP,QM21,Peak,5,8,62.5
2015-01-01,Queens,2,EXP,QM24,Off-Peak,15,17,88.2352941
2015-01-01,Queens,2,EXP,QM24,Peak,56,61,91.8032787
2015-01-01,Queens,2,EXP,QM25,Off-Peak,4,5,80
2015-01-01,Queens,2,EXP,QM25,Peak,21,24,87.5
2015-01-01,Queens,2,EXP,QM5,Off-Peak,362,429,84.3822844
2015-01-01,Queens,2,EXP,QM5,Peak,199,246,80.8943089
2015-01-01,Queens,2,EXP,QM6,Off-Peak,333,372,89.516129
2015-01-01,Queens,2,EXP,QM6,Peak,127,154,82.4675325
2015-01-01,Queens,2,EXP,QM7,Off-Peak,11,11,100
2015-01-01,Queens,2,EXP,QM7,Peak,24,28,85.7142857
2015-01-01,Queens,2,EXP,QM8,Off-Peak,3,5,60
2015-01-01,Queens,2,EXP,QM8,Peak,11,15,73.3333333
2015-01-01,Queens,2,EXP,X63,Off-Peak,5,6,83.3333333
2015-01-01,Queens,2,EXP,X63,Peak,20,24,83.3333333
2015-01-01,Queens,2,EXP,X64,Off-Peak,1,1,100
2015-01-01,Queens,2,EXP,X64,Peak,9,9,100
2015-01-01,Queens,2,EXP,X68,Off-Peak,3,3,100
2015-01-01,Queens,2,EXP,X68,Peak,16,22,72.7272727
2015-01-01,Queens,1,LCL/LTD,Q1,Off-Peak,9169,10614,86.3859054
2015-01-01,Queens,1,LCL/LTD,Q1,Peak,3263,4522,72.158337
2015-01-01,Queens,1,LCL/LTD,Q10,Off-Peak,13528,16362,82.679379
2015-01-01,Queens,1,LCL/LTD,Q10,Peak,4946,7493,66.0082744
2015-01-01,Queens,1,LCL/LTD,Q100,Off-Peak,3209,3627,88.475324
2015-01-01,Queens,1,LCL/LTD,Q100,Peak,1126,1497,75.2171009
2015-01-01,Queens,1,LCL/LTD,Q101,Off-Peak,2009,2451,81.9665443
2015-01-01,Queens,1,LCL/LTD,Q101,Peak,792,1172,67.5767918
2015-01-01,Queens,1,LCL/LTD,Q102,Off-Peak,2021,2420,83.5123967
2015-01-01,Queens,1,LCL/LTD,Q102,Peak,827,1129,73.2506643
2015-01-01,Queens,1,LCL/LTD,Q103,Off-Peak,489,535,91.4018692
2015-01-01,Queens,1,LCL/LTD,Q103,Peak,442,538,82.1561338
2015-01-01,Queens,1,LCL/LTD,Q104,Off-Peak,708,753,94.0239044
2015-01-01,Queens,1,LCL/LTD,Q104,Peak,380,440,86.3636364
2015-01-01,Queens,1,LCL/LTD,Q11,Off-Peak,4743,5934,79.9292214
2015-01-01,Queens,1,LCL/LTD,Q11,Peak,2186,3542,61.7165443
2015-01-01,Queens,1,LCL/LTD,Q110,Off-Peak,8000,9956,80.3535556
2015-01-01,Queens,1,LCL/LTD,Q110,Peak,3360,5359,62.6982646
2015-01-01,Queens,1,LCL/LTD,Q111,Off-Peak,15687,19821,79.1433328
2015-01-01,Queens,1,LCL/LTD,Q111,Peak,6988,10908,64.063073
2015-01-01,Queens,1,LCL/LTD,Q112,Off-Peak,5138,7028,73.1075697
2015-01-01,Queens,1,LCL/LTD,Q112,Peak,2830,4886,57.9205894
2015-01-01,Queens,1,LCL/LTD,Q113,Off-Peak,4492,5924,75.8271438
2015-01-01,Queens,1,LCL/LTD,Q113,Peak,2840,4392,64.6630237
2015-01-01,Queens,1,LCL/LTD,Q114,Off-Peak,8322,10538,78.9713418
2015-01-01,Queens,1,LCL/LTD,Q114,Peak,3323,5258,63.198935
2015-01-01,Queens,1,LCL/LTD,Q12,Off-Peak,10854,12590,86.2112788
2015-01-01,Queens,1,LCL/LTD,Q12,Peak,3951,5244,75.3432494
2015-01-01,Queens,1,LCL/LTD,Q13,Off-Peak,7983,9491,84.1112633
2015-01-01,Queens,1,LCL/LTD,Q13,Peak,2858,4039,70.7600891
2015-01-01,Queens,1,LCL/LTD,Q15,Off-Peak,2726,3185,85.588697
2015-01-01,Queens,1,LCL/LTD,Q15,Peak,1514,1964,77.0875764
2015-01-01,Queens,1,LCL/LTD,Q15A,Off-Peak,3356,3899,86.0733521
2015-01-01,Queens,1,LCL/LTD,Q15A,Peak,1736,2316,74.9568221
2015-01-01,Queens,1,LCL/LTD,Q16,Off-Peak,4706,5301,88.7757027
2015-01-01,Queens,1,LCL/LTD,Q16,Peak,2676,3393,78.8682582
2015-01-01,Queens,1,LCL/LTD,Q17,Off-Peak,21252,28161,75.4660701
2015-01-01,Queens,1,LCL/LTD,Q17,Peak,7709,11921,64.6673937
2015-01-01,Queens,1,LCL/LTD,Q18,Off-Peak,4636,5437,85.2676108
2015-01-01,Queens,1,LCL/LTD,Q18,Peak,2670,3707,72.025897
2015-01-01,Queens,1,LCL/LTD,Q19,Off-Peak,2938,3341,87.9377432
2015-01-01,Queens,1,LCL/LTD,Q19,Peak,1295,1837,70.4953729
